pdb,subtype,y_true,y_pred,rs_subclass
1arj,viral_tar,3.0,5.340012550354004,other_lig
407d,duplex_groove,6.4634,5.834011554718018,other_lig
408d,duplex_groove,7.3188,5.992774486541748,other_lig
1qms,other_misc,9.0,8.875809215259205,other_lig
1byj,ribosomal_asite,5.699,5.687010765075684,other_lig
1db6,other_misc,4.0,5.060016163013589,other_lig
1cvy,duplex_groove,6.4202,5.979745388031006,other_lig
454d,duplex_groove,8.0,6.344334125518799,other_lig
1cvx,duplex_groove,4.9586,5.728997230529785,other_lig
1f27,aptamer,6.0,7.403024196624756,other_lig
1f1t,aptamer,7.3979,6.523905277252197,other_lig
1qd3,other_misc,5.2291,6.323228716694851,other_lig
1fyp,ribosomal_asite,5.6021,6.03529691696167,other_lig
1i9v,ribosomal_asite,3.466,5.126227855682373,other_lig
1nzm,g_quadruplex,6.4815,5.690326737770339,other_lig
1p96,duplex_groove,5.5952,5.184572696685791,other_lig
1qv8,duplex_groove,6.9431,6.308732986450195,other_lig
1qv4,duplex_groove,6.9066,6.12560510635376,other_lig
1r4e,duplex_groove,5.2733,5.476555347442627,other_lig
1q8n,aptamer,6.0969,6.709131240844727,other_lig
1uts,viral_tar,7.4089,5.484776020050049,other_lig
1uud,viral_tar,5.8125,5.36197566986084,other_lig
1yrj,other_misc,6.699,5.193475046706044,other_lig
2bee,ribosomal_asite,7.0,6.010862350463867,other_lig
2be0,ribosomal_asite,6.8861,5.984156608581543,other_lig
1ykv,other_misc,5.0,4.798005888163879,other_lig
2g5k,ribosomal_asite,6.301,5.72490119934082,other_lig
2b57,riboswitch,7.7696,5.531487784937208,purine
2f4s,ribosomal_asite,4.7212,5.435356140136719,other_lig
2f4t,ribosomal_asite,5.6576,5.734951496124268,other_lig
2g9c,other_misc,5.699,5.899025025736268,other_lig
2f4u,ribosomal_asite,5.2291,5.676408767700195,other_lig
2au4,aptamer,7.1249,6.511972427368164,other_lig
2o3w,ribosomal_asite,5.585,5.5347900390625,other_lig
2o3x,ribosomal_asite,4.301,5.599485874176025,other_lig
3e5c,riboswitch,9.2441,9.537517535604,SAM_SAH
3fo4,riboswitch,6.1427,5.6706593338508196,purine
3ger,riboswitch,6.0506,5.6785379507471845,purine
2kgp,riboswitch,6.0,5.832825711899724,purine
3fu2,riboswitch,7.699,7.073506402954799,FMN_FAD
3ges,riboswitch,4.699,5.4934168577591995,purine
3fo6,riboswitch,4.6383,5.503457562851563,purine
3gog,riboswitch,4.6198,5.800934337208959,purine
2kdq,viral_tar,7.5229,7.411403656005859,other_lig
3ds7,other_misc,4.4089,5.425868184825805,other_lig
3gao,riboswitch,4.4089,4.017509448656945,purine
3g4m,riboswitch,5.3565,5.7379140496387455,purine
3got,riboswitch,5.3979,5.734372530823245,purine
3jq4,other_misc,5.0,5.715529326729376,other_lig
3mum,riboswitch,9.6778,9.417348045642518,TPP
3mxh,riboswitch,10.9586,8.288289621455789,TPP
3mur,riboswitch,7.8239,8.595777832308478,TPP
3la5,riboswitch,6.0,6.649691330570219,other_lig
2ku0,other_misc,5.585,4.844709246888611,other_lig
3owz,riboswitch,5.4559,4.752361765443672,other_lig
3npn,riboswitch,7.4949,5.11610153439475,SAM_SAH
2kx8,other_misc,5.2,4.710152145195971,other_lig
2ktz,other_misc,5.0458,5.410858407069092,other_lig
2ygh,riboswitch,6.5086,5.393463820873788,SAM_SAH
2ydh,riboswitch,5.71,5.488663202043952,SAM_SAH
2xo1,aptamer,4.0,4.167821407318115,other_lig
2xnz,aptamer,3.9586,3.867035627365112,other_lig
3sd3,riboswitch,4.7447,4.987809813903471,FMN_FAD
3q50,riboswitch,8.6882,6.9614300691186735,FMN_FAD
3q3z,riboswitch,8.6576,7.649361100703767,TPP
2l94,other_misc,3.4437,5.457930033348625,other_lig
2xnw,aptamer,3.4318,3.331595659255981,other_lig
3slm,other_misc,3.4214,5.285930296823992,other_lig
2xo0,aptamer,4.0969,4.222468852996826,other_lig
3s4p,other_misc,6.0,5.44085494690185,other_lig
4aob,riboswitch,6.3098,7.368615778624593,SAM_SAH
4fe5,riboswitch,6.1355,6.354424872866586,other_lig
2loa,g_quadruplex,5.6576,5.833573040723542,other_lig
4erj,riboswitch,2.5086,2.7569392910574106,other_lig
2lwk,other_misc,4.2967,4.846739286489294,other_lig
4erl,riboswitch,3.2441,3.39825550065861,other_lig
2mb3,other_misc,5.1308,5.724977568039371,other_lig
2rsk,other_misc,5.0,4.986473818077387,other_lig
4jf2,riboswitch,7.7471,6.928185327307541,FMN_FAD
4kqy,riboswitch,7.7212,7.126498462671106,SAM_SAH
4oqu,riboswitch,6.3872,5.969423012099821,SAM_SAH
4lvz,riboswitch,6.301,5.657117721415595,purine
4nyg,riboswitch,5.8239,5.605846503746877,TPP
4nyb,riboswitch,3.9872,3.504509928840085,other_lig
4lvy,riboswitch,3.9586,4.993971708028267,FMN_FAD
4lvx,riboswitch,4.7447,4.636284372454027,FMN_FAD
4qln,riboswitch,5.5376,5.8895532339122125,purine
4lx5,riboswitch,6.6716,5.625415127724111,purine
4nyc,riboswitch,3.5528,3.8823260297964355,other_lig
4qk8,riboswitch,6.5229,7.185884550282035,purine
4qk9,riboswitch,6.5229,6.245751225342652,purine
4nya,riboswitch,4.3098,5.827452979808492,purine
4w90,riboswitch,7.2749,7.239864866518074,purine
4ts0,aptamer,6.2757,6.2596211433410645,other_lig
4ts2,aptamer,6.2757,6.267354965209961,other_lig
4qlm,riboswitch,7.1805,6.856190863337105,purine
4lvw,riboswitch,4.1805,4.792125209326347,purine
4nyd,riboswitch,3.1739,2.7001642796332157,other_lig
4l81,riboswitch,5.1367,5.989020403777942,SAM_SAH
4lw0,riboswitch,5.0969,5.7601212922161285,purine
4lvv,riboswitch,5.0177,4.661621216573321,FMN_FAD
4lx6,riboswitch,7.0223,5.756903073373078,purine
2mg8,g_quadruplex,6.0155,6.092153577460843,other_lig
4yb0,riboswitch,6.0315,8.221330328416824,TPP
4xwf,g_quadruplex,5.9666,5.464078717913203,other_lig
4znp,g_quadruplex,5.3279,6.280499871566381,other_lig
5c7u,riboswitch,7.3768,7.1831375818386,other_lig
5btp,g_quadruplex,6.3125,5.653593319532874,other_lig
5c7w,riboswitch,7.3188,7.073007289003885,other_lig
2mxs,ribosomal_asite,5.2924,5.863815784454346,other_lig
4rzd,riboswitch,8.1871,6.876206445393644,FMN_FAD
4yaz,riboswitch,7.1759,8.482849876338644,other_lig
2n0j,ribosomal_asite,6.4815,5.614933490753174,other_lig
5cdb,g_quadruplex,5.9586,5.8582886222412185,other_lig
5lwj,other_misc,5.5432,5.592703847415417,other_lig
5uzz,other_misc,6.699,5.539757275672397,other_lig
5kpy,aptamer,5.4089,6.061594486236572,other_lig
5uee,other_misc,3.699,4.809528644234348,other_lig
5v3f,aptamer,8.5229,8.63102912902832,other_lig
5z80,other_misc,5.9136,4.854089287468733,other_lig
6d2u,other_misc,9.7447,8.256399785223913,other_lig
6dmc,riboswitch,6.2924,5.872715980337523,TPP
6c65,aptamer,9.0458,8.672234535217285,other_lig
6c63,aptamer,8.9586,9.123218536376951,other_lig
6c64,aptamer,8.8539,7.110732555389404,other_lig
6ck4,riboswitch,5.7447,5.670115959765605,TPP
5w77,other_misc,4.7825,4.7167052614059735,other_lig
6ck5,riboswitch,5.699,5.368853301502352,TPP
6fz0,riboswitch,5.3595,6.156701186058783,SAM_SAH
6dlt,riboswitch,4.2277,5.831889439587622,TPP
6e84,aptamer,5.8539,6.123398780822754,other_lig
6j2w,other_misc,5.8539,4.654134446869858,other_lig
6e8t,aptamer,8.7696,8.173084259033203,other_lig
6qn3,riboswitch,3.7212,3.4246463416104076,other_lig
6e8s,aptamer,8.6383,9.07891845703125,other_lig
6hmo,other_misc,4.5528,4.877678866195292,other_lig
6hag,riboswitch,5.4318,6.180333358470696,SAM_SAH
6p2h,other_misc,7.4685,5.357686935727901,other_lig
6jj0,g_quadruplex,7.4437,6.246540345077456,other_lig
6e81,aptamer,5.5229,6.162921905517578,other_lig
6e8u,aptamer,8.3372,8.383036613464355,other_lig
6hbt,duplex_groove,5.3279,5.018413066864014,other_lig
6sx3,other_misc,5.1549,4.826087732080439,other_lig
